slide_number,text,concepts,triples,raw_output
11,"Let’s talk a bit more about what makes tomography special.

When you take a regular photo with your phone, you get a picture—that’s it. It’s a direct result of what the camera sees. But tomographic imaging is different. You don’t directly capture the image you want. Instead, you collect data from many different angles, and that data is a kind of indirect measurement—a projection of what's inside.

Now here’s the key part: to get a cross-sectional image, we need to do something called inversion. In other words, we take the measurements and reverse-engineer the internal structure that produced them.

This is an inverse problem. It’s different from the more familiar forward problem, where you know all the inputs, and a forward model, and calculate the outcome. Like in physics: you know the force and the mass, so you calculate how something moves.

In tomography, it’s the opposite. You see the outcome—the measurement—and you ask: what could have caused this? That’s a lot harder.

Here’s a fun analogy: think of boiling an egg. That’s a straightforward process. But what if someone gave you a boiled egg and said, “Unboil it”? That’s the inverse problem. Sounds impossible—but researchers have found ways to reverse that process under specific conditions. It’s challenging, but not hopeless. And that’s what makes inversion in imaging both difficult and exciting.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
12,"Here’s another example that might feel a bit more familiar.

Let’s say you take a photo with your phone, but it turns out a little blurry—maybe the camera shook, or the focus was off, or the camera is cheap and of poor quality. What you get is not the true image, but a version that’s been blurred in several ways.

Now, how do we describe that blurring? In image processing, we model it using something called a point spread function—or PSF for short. This describes how a single point of light spreads out in the image.

The process that causes blurring is called convolution. It’s a mathematical operation that combines the original image with the PSF. Convolution is sort of like multiplication—but in the so-called Fourier space that we will explain later in this course. Indeed, in the Fourier domain, convolution becomes regular multiplication. The Fourier transform is often performed using a fast algorithm, FFT in short. That simplifies a lot of computations.

But now comes the hard part: what if all you have is the blurry image? Can you work backward and recover the original, sharp version?

That’s another inverse problem. And just like with tomography, it’s tricky. You're trying to undo the effect of the blur, based on your knowledge of the system. It takes clever algorithms and good models—but it can be done. And that’s the kind of thinking we’ll develop throughout this course.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
13,"Let’s take a step back for a moment and think about how mathematics builds over time.

When you were in school, you learned the basics: addition, subtraction, multiplication, division. These are the building blocks. But once you reach higher levels—like where we are now—those simple operations take on more advanced forms.

Take addition, for example. At this level, we’re not just adding a few numbers—we might be summing over an infinite number of values. That’s what integration is: it's a continuous version of addition, used when we add up contributions from every point in a region.

What about subtraction? In calculus, that becomes differentiation. Instead of just finding a difference between two numbers, we’re looking at how fast something is changing at an exact point by evaluating a very small difference of a smooth function between two rather close points.

Now let’s look at multiplication. In imaging, we move from regular multiplication to something called convolution—a fundamental concept in systems and signal processing. Convolution helps us model how a spatially-invariant linear system modifies a signal or an image. You’ll see this again and again in medical imaging. Again, a convolution in a spatial or time domain is a multiplication in the Fourier domain.

And finally, what about division? Here’s where things get interesting. The advanced version of division—where you’re trying to reverse a process—is what we call an inverse solution; the deblurring problem is a good example. You’re given a blurry image, and your job is to figure out what is the underlying ground truth image. And that’s essentially what we do in tomographic imaging.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
14,"Now, here’s the point: inversion is hard. Much harder than the forward process.

In a forward problem, you start with all the information, and you calculate the outcome. That’s usually pretty straightforward. But an inverse problem is the opposite: you’re starting with the outcome, and trying to infer what caused it.

And this is where things get tricky. There might be multiple possible answers, or the data might be noisy or incomplete. You need to bring in clever mathematics, algorithms, physical models, and prior knowledge to make sense of it all.

That’s why this course isn’t just about memorizing facts. It’s about developing your quantitative thinking and really understanding what’s going on underneath the surface. It’s challenging—but if you put in the effort, it’s also incredibly rewarding.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
15,"Now let’s take a moment to appreciate just how interdisciplinary medical imaging really is.

We’re combining mathematics, physics, chemistry, biology, and engineering—all in one field. Think about that. Whether we’re modeling how X-rays interact with tissue, analyzing ultrasound signals, or designing contrast agents for optical imaging—we’re pulling from all corners of science and technology.

This means that medical imaging isn’t just about one skill set. It’s about thinking broadly and connecting the dots between different fields. And if you enjoy solving complex problems, this is one of the best places to be.

So by now, you should have a pretty good sense of what this course is about—and what makes it so special. We’ll focus on modern biomedical imaging technologies, and we’ll build the knowledge and tools needed to understand how they work, and how they’re used to help people.

And honestly, it’s really cool stuff.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
16,"So by now, you might be thinking—this is all very cool, but why do I really need to learn medical imaging?

Well, I’d say there are at least two solid reasons.

First—and perhaps most importantly—it gives you essential health-related knowledge. Whether you pursue a career in engineering, medicine, or something entirely different, understanding how imaging works can help you make sense of your own health and the health of those around you, during your hospital visits and afterwards.

The second reason is career-related. We’ll get to that more. But for now, just keep in mind—this is cool knowledge for a niche group of people. It’s personal and extremely useful in several ways; to say the least, it is a required course for your college education.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
17,"Let me share something personal with you.

A couple of years ago, I had a kidney stone. Not fun. I ended up in the hospital, they injected a contrast agent, ran a CT scan, and just like that—they could see the size and location of the stone.

Now, because I understood what was going on, I wasn’t worried or confused. I could follow the diagnosis, and I knew what the doctors were looking for.

And honestly, sooner or later, most of us will have a medical scan—whether it’s an X-ray, a CT, or an MRI. And perhaps, all of them and multiple times. It could be you, or someone you love. When that happens, wouldn’t it be helpful to understand what those images mean?

That’s why this knowledge matters—not just in theory, but in real life.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
18,"Looking ahead, many of you will have families of your own. When a family member gets a scan or a test result, wouldn’t you want to understand what’s happening?

That’s where this course really empowers you.

Even if you don’t go into imaging research, even if you don’t become a radiologist or an imaging scientist, just being able to interpret results and ask the right questions can make a big difference.

So that’s the first reason: personal and practical value. Now let’s move on to the second one—your career.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
19,"Let’s zoom out for a moment and look at biomedical engineering as a field.

It’s one of the newest branches of engineering. Engineering started with disciplines like civil and mechanical, then moved into electrical, chemical, and aerospace. More recently, biomedical engineering emerged to bridge the gap between technology and medicine.

And it’s grown fast—because it’s relevant, it’s interdisciplinary, and it’s impactful.

In many universities, biomedical engineering includes at least two major focus areas. One is imaging, which is what we’re covering here. The other is tissue engineering and regenerative medicine, often called TERM.

Whether or not you plan to specialize in imaging, this course plays a foundational role. It builds your technical knowledge, strengthens your systems thinking, and helps you understand one of the most important technologies in healthcare today.

So if you’re here as part of your degree requirements—great. But don’t just treat it like a checkbox. Learn it well. It will pay off, academically, professionally, and personally.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
20,"Now, for those of you considering a concentration in imaging—or even just taking this course seriously—it can really pay off in your career.

Medical imaging is a technical field, but it’s also full of opportunities. If you understand how imaging systems work, and you can apply that knowledge to real-world problems, you’ll bring serious value to any team—whether in research, healthcare, or industry.

And in case you’re still wondering: yes, biomedical engineering is a great profession. It sits at the intersection of life sciences, medicine, and engineering—and that makes it both exciting and employable.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
21,"In fact, if you look at trends in job growth, biomedical engineering consistently ranks among the fastest-growing careers. Just take a glance at some recent employment reports—you’ll see biomedical engineers right near the top.

Why is that? Well, part of the reason is that healthcare is becoming more tech-driven. Devices, sensors, data analysis, machine learning—it all depends on people who can bridge the gap between biology and engineering.

So not only is this field intellectually exciting—it also comes with strong job prospects and competitive salaries.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
22,"Now let’s zoom out to the global scale.

Medical imaging isn’t just a field—it’s a major global industry. And it’s growing fast. Countries around the world are investing heavily in imaging infrastructure, service, and innovation.

If you look at the data, regions like Asia and Europe are rapidly expanding their market share. Asia, in particular, has seen a surge in R&D spending and adoption of advanced imaging technologies. That means more jobs, more research funding, and more innovation coming from across the globe.

So, whether you're aiming for industry, academia, or entrepreneurship—this is a great space to be in.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
23,"When it comes to imaging modalities, CT and MRI continue to lead in market share and clinical use.

That’s no surprise—both are incredibly versatile and widely used across medical specialties. CT scans are fast and great for detailed anatomical views. MRI provides outstanding soft tissue contrast, which is essential in areas like cardiology and neurology.

You might be surprised, though, that nuclear imaging—like PET and SPECT—is also a major player. These techniques are critical for functional imaging and cancer imaging. They are becoming more popular as we move toward personalized and molecular medicine.

Each year, investment in these technologies grows. The message is clear: the field is fast evolving, and there’s a strong momentum behind it.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
24,"So now that we’ve seen how vital CT, MRI, and other imaging technologies are in practice and in the global market—here’s something interesting to reflect on.

A few years ago, a survey asked physicians and scientists to name the most important technological innovation of the entire 20th century. Think about that—this included everything: the internet, smartphones, even space travel.

And what came out on top? Magnetic Resonance Imaging (MRI) and Computed Tomography (CT). Not even close. These tomographic imaging technologies were voted number one by a considerable margin.

Why? Because they fundamentally changed how we diagnose and treat diseases. They let us see inside the human body in ways that were never possible before—accurately, noninvasively, and in real time.

As you go deeper into this course, you’ll learn how these systems work—so not only will you understand their value, you’ll also be able to explain it confidently in, say, a job interview or a professional conversation. That’s powerful knowledge.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
25,"Speaking of innovation—let’s talk about one of the major players in the field: General Electric, or GE, in the neighborhood of Rensselaer Polytechnic Institute.

This is a company with a deep history of technological contributions, not just in medical imaging, but across many industries. And interestingly, “GE” also happens to be my initials—but theirs is with a capital E. So, no confusion!

GE was founded back in 1892, not long after X-rays were discovered. And Rensselaer Polytechnic Institute was founded even earlier. So these two organizations have grown side by side, both focused on pushing the boundaries of science and technology.

GE has been part of some most transformative developments in imaging—from early X-ray machines to advanced MR scanners. They’ve really helped shape this field.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
26,"Now, within GE, one of the most important innovation engines is their Global Research Center. This is where long-term, high-impact R&D happens.

Their record speaks for itself—two Nobel Prizes, major contributions to physics, chemistry, materials, energy, and of course, medical imaging.

In 1984, they played a critical role in the development of MRI systems. And in 1999, digital X-ray systems came out of their labs. They’ve consistently been at the forefront of translating ideas into real-world technologies. My lab and Global Research Center has been closely collaborating on medical imaging over decades. 

So when we say medical imaging sits at the cutting edge of innovation—we mean it.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
27,"And what makes GE even more impressive is the global reach of their research.

They have major centers across the U.S., Europe, Asia, and South America. For example, the Global Research Center in Niskayuna, New York—right near RPI—is home to over a hundred labs and nearly two thousand technologists.

For a student interested in imaging, that’s a golden opportunity. You can collaborate, intern, or even launch a career through the GE-RPI partnership.

Some of you may want to go into academia, others into entrepreneurship or industry. Wherever you go, connecting with innovation hubs like GE gives you a head start. Especially in imaging, they are a top-tier industrial partner.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
28,"Before we wrap up this introduction,  I’ll also give you a simple task—just a brief introductory slide you can prepare. It’s not graded, but it helps me get a sense of who you are, what your background is, your GPA, research experience, and what you hope to learn. That way, I can adjust the flow of this course to better support your journey.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
29,"As we continue our journey into medical imaging, let me take a moment to introduce myself in a little more depth.

I’m Professor Ge Wang, and in addition to teaching this course, I’m deeply involved in research on medical imaging. My work spans both the theoretical and applied sides of the field. I’ve dedicated much of my career to advancing medical imaging science so that we can better diagnose and treat disease.

If you’re interested in exploring more about my work, feel free to check out my home page and lab’s website, where we share updates on our latest projects.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
30,"Now let me share a bit more about the imaging program at RPI.

My main interests are in X-ray imaging and optical imaging. I direct our Biomedical Imaging Center, where we work on advancing these technologies. One exciting direction is how artificial intelligence can help improve imaging—making it faster, more accurate, and more insightful.

This work doesn’t happen in isolation. I collaborate with outstanding colleagues like Professor Xavier Intes, a leader in optical molecular tomography, Professor Pingkun Yan, a leader in AI-based image analysis and healthcare analytics, and many others. Together, we team up with world-class researchers from GE, Yale, Wake Forest, MGH, Stanford, FDA, and other top institutions. Our shared goal is to create imaging solutions that are innovative, influential, and that truly make differences in patient care.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
31,"These collaborations all come together in a fantastic building—the Center for Biotechnology and Interdisciplinary Studies, or CBIS.

CBIS is more than just a building. It’s a hub where experts from biology, engineering, and computing come together to tackle big problems in science and healthcare. It’s where our imaging center is rooted, and where much of the work that I’ve been describing happens.

Over the past decade, CBIS has been at the forefront of interdisciplinary research, and it continues to grow in both scope and impact.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
32,"Now, I often like to say: if CBIS were a coordinate system, my office would be right at the origin!

Of course, for this online course, we’re not meeting in person. But the idea is the same—I’m here as a resource for you. The lectures, materials, and any additional resources I share are all designed to help you succeed and make the most of this learning experience.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
33,"We’ve designed this course with two major phases in mind: a foundation phase and a modality-specific phase. In the foundation phase—highlighted in light blue—you’ll build the critical background knowledge necessary to understand modern biomedical imaging systems. This includes essential concepts in linear systems, convolution, and Fourier analysis. These are the mathematical and conceptual tools at the heart of almost every imaging modality we’ll cover later.

Why this structure? Well, my previous experience with diverse students tells me that not everyone enters this course with the same preparation. Some of you may have strong backgrounds in physics, applied math, and electrical engineering—and that’s great. You might already be familiar with system theory and Fourier transform. But many others come from biology, chemistry, or material science backgrounds, where these topics are not emphasized. That’s completely okay.

Medical imaging is interdisciplinary—and complex. So my job is to guide all of you, regardless of background, to the point where you understand these core ideas clearly and intuitively. It won't be enough to just listen and watch these lectures. You’ll need to invest time in previewing and reviewing the materials and doing the assignments. But rest assured—your effort will pay off. These foundational topics will resurface again and again, especially in modalities like CT and MRI, where the Fourier transform is a key player.

Also, linear systems might look simple on the surface—after all, they obey additivity and scaling rules—but they come with nuances. One particularly subtle concept is convolution, which plays a crucial role in both systems analysis and image reconstruction. We’ll make sure you understand not just how to compute it, but also why it matters and how it shows up in real-world scanners.

So, we begin with the foundation. Later, we’ll shift to the modality phase, shown in dark green—where we delve into imaging techniques like X-ray CT, nuclear imaging, MRI, ultrasound, and optical imaging. Each one has unique physics, engineering principles, and clinical applications.

Think of it this way: the foundation is your universal imaging 'language'. Once you master it, learning each new modality becomes much easier, and far more meaningful.

Let me walk you through our tentative timeline for the course—though as with any plan, we may make some adjustments along the way.

This lecture kicks off the course. In our next session, you’ll be introduced to MATLAB. If you're unfamiliar with it, don’t worry—our teaching assistant will help you get started. MATLAB is a vital tool in imaging research, especially when modeling systems or reconstructing images from tomographic data. After the introduction, you’ll have a short MATLAB-related assignment to sharpen your skills.

Then we move into the foundation module—the light blue section. This is where we cover the theoretical concepts that apply across imaging technologies. After that, we transition to the green section—where we examine individual imaging modalities.

You’ll also be evaluated through three closed-book exams spaced across the course: one after the foundation module, one after the first set of modalities (CT and nuclear imaging), and one to cover everything else. Your final grade will be based on a combination of these exams, your homework, and participation.

Now, this is an online course, so we’ve adapted all the content accordingly. Pre-recorded lectures, interactive demos, and exercises will all be made available. If you have questions, we encourage you to reach out via the discussion forum or email. Quick responses are part of our commitment to help you succeed.

A quick tip: spend quality time understanding the Fourier transform early on. It’s a recurring theme. And if you’ve ever wondered why exponential functions like 
𝑒^𝑖𝜃 show up everywhere, this course will make that connection crystal clear. We’ll discuss how they lead to elegant mathematical representations and how these expressions play into image formation.

Finally, one last point. This course is not just about passing exams—it’s about equipping you with a deep understanding that you can carry forward into research, engineering design, and healthcare work. Let’s work together and learn from each other.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
34,"For the modality-specific portion of the course—the dark green section—we’ll be using the green textbook: Introduction to Biomedical Imaging by Andrew Webb. It’s available online or through our university bookstore.

This book isn’t very thick, but it’s well-structured and written with clarity. Even though it was published a while ago, the fundamental principles it covers haven’t changed. Physics is timeless in that way. We’ll supplement the book with more recent findings, particularly in areas like deep learning for image reconstruction, low-dose imaging, and multi-modal fusion—advances that have significantly shaped the field over past several years.

The textbook will guide your learning, especially in the second part of the course. For the foundation topics like linear systems and Fourier theory, we’ll use tailored lecture notes and curated readings, because unfortunately, there’s no single book that explains everything in a concise and consistent manner for students from all backgrounds.

So, keep this in mind: while you may rely on the textbook for the modality section, the theoretical part of the course will require close attention to lecture materials and exercises. That’s where most students need the extra help—and that’s why we’re here to support you.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
35,"In addition to our course materials, I’d like to mention a particularly helpful supplementary resource that aligns well with the foundation we’re covering—especially Fourier transforms and linear systems.

Stanford University offers an excellent course titled 'EE261: The Fourier Transform and Its Applications'. It’s taught by Professor Brad Osgood, and the best part is that it is freely available online through Stanford’s SEE platform. You can access the full textbook there and watch high-quality lecture videos.

Now, a quick word of caution: the Stanford course spans an entire semester. The book is over 400 pages long. Don’t feel overwhelmed. You absolutely do not need to cover all of it. Think of it as a reference companion to our course. In fact, for our purposes, reading even 80–100 pages from selected sections will be more than enough to reinforce your understanding.

What makes this resource valuable is the clarity and consistency of its explanations and mathematical treatment. It builds the theory from the ground up, with elegant examples and a style that’s both rigorous and readable. If you ever find yourself puzzled by a concept I introduce—say, the derivation of the Fourier series, or the intuition behind convolution—this book can offer a second viewpoint. Sometimes, a slightly different presentation is all you need for clarity.

However, please note that we will follow our own structured path in this course. For example, I introduce linear systems before Fourier transforms, because in imaging, systems thinking provides the conceptual grounding. The Stanford course takes the reverse order. Both are valid—but here, we start with linear systems to better prepare for their applications in imaging modalities like CT and MRI.

Please use this Stanford material as a valuable supplement, not a replacement. You’ll benefit most by following our course flow carefully and referring to the Stanford book only when you want to go deeper or review challenging topics.

Lastly, although I have reached out for formal permission, the material seems publicly accessible and openly shared for educational use. So, feel free to explore it from your own dorm room, your library, or anywhere you study.

This is an exciting time to learn these topics—tools like ChatGPT make it easier than ever to gain a deeper understanding. Let’s use them wisely.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
36,"In this course, you’ll have access to a complete set of digital resources to support your learning.

We’ve included professionally recorded video lectures, so you can review key concepts anytime. All PowerPoint slides used in the course are also available for download and review.

For the modality sections, the textbook is available as hardcopy and PDF, making it easy to follow along even to search specific topics digitally. The course schedule follows a well-structured plan from previous offerings, with minor updates to reflect some latest progress in imaging science.

These materials are here to help you succeed—use them actively as we explore the foundation materials and modalities of medical imaging.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
37,"Continuing from our previous discussions, let’s dive into the physics of X-ray imaging and how we can collect and process data to reconstruct an image.

In X-ray imaging, we start with the concept of a line integral. Essentially, the X-rays pass through the object, and what we measure is the energy of penetrated x-ray photons and then compute the line integral along the x-ray path. Such line integrals together form the Radon transform. To make it simpler, imagine you have an object, and you put all line integrals from a specific direction to form an x-ray projection. This projection is a one-dimensional profile, which is the information you can get along all the X-ray paths passing through the object in that direction.

Now, let’s take this idea into the realm of mathematics. We start with a 2D image, denoted as 
f(x,y). When we have all x-ray projections or the Radon transform, we get a new 2D function  p(θ,t), where  t is the coordinate along the 1D detector array and  θ is the projection orientation. By changing the angle θ, we rotate the data acquisition system to gather x-ray projections.

Now, the magic happens when we flip the process around. Given this collected projection dataset, our goal is to reconstruct the original 2D image f(x,y). This is the inverse process, and here’s where things get interesting: by perform the 1D Fourier trans of each and every of the 1D projections, we move into the Fourier domain.

To put it simply, the 1D projections we collect represent profiles in the frequency domain. By rotating the data acquisition system, we eventually capture the entire Fourier space. And once we have all the data in the Fourier space, we can apply the inverse Fourier transform to reconstruct the original image. This process connects the data from the physical object to the Fourier spectrum of the underlying image, and from the Fourier spectrum, we can reconstruct the original image.

While this overview gives you the fundamental idea, later in the course, we’ll dive deeper into the Fourier transform, why they can be inverted, and how this mathematical framework ties directly to the imaging process. But for now, keep in mind that the forward process (how we collect data) and the inverse process (how we reconstruct the image) are two sides of the same coin, closely linked by Fourier analysis.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
38,"Continuing with our exploration of imaging modalities, let’s now discuss Positron Emission Tomography, or PET. While the previous imaging techniques focused on capturing the anatomical structure, PET offers a powerful way to visualize the functional activity in the human body.

So, how does it work? Well, the key to PET is the introduction of radioactive tracers into the body. These tracers are typically radioactive chemicals that participate in your body’s metabolic processes. For example, tumors tend to consume a lot of glucose. If we couple glucose molecules with a radioactive tracer, we can track how much glucose the tumor is using, which directly correlates with its activity. Tumors, which are often highly metabolic, will naturally absorb more of this tracer.

Once the PET tracer is in the body, it begins to emit gamma ray photons in pairs, and two photons in a pair will travel in opposite directions. Gamma rays, much like X-rays, can penetrate through tissues and be detected externally. When we receive gamma ray photons from two different detector locations, we know they originated from the same event somewhere on the line connecting the two detectors.
This process is similar to the measurement of line integrals used for CT. Then, we can apply Fourier analysis to reconstruct the images. In PET, Fourier transforms help us create detailed, functional images of the body’s processes. The goal here is to understand how much activities are happening at specific locations. So, while we’ve seen how CT gives us anatomical details, PET allows us to observe the biological functions—like metabolism—within those structures.

This modality is especially useful for identifying cancerous tissues, studying brain function, and even monitoring heart conditions. Later, we’ll explain how the gamma ray photons are detected and processed to reconstruct these functional images. But for now, remember that PET imaging provides us with a way to look inside the body not just for its structure, but also for how physiology is actively working.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
